hdi_rank;country;gii_value;gii_rank;mmr;abr;ssp;ssp_note;edu_female;edu_female_note;edu_male;edu_male_note;edu_diff;labour_female;labour_male;labour_diff;human-development
89;Thailand;0,364;70;48;41;15,7;;35,7;;40,8;;-5,10856;64,4;80,8;-16,4;high
90;Tunisia;0,265;48;56;4,6;26,7;;32,8;;46,1;;-13,28018;25,1;70,6;-45,5;high
91;China;0,202;37;37;8,6;23,4;;58,7;;71,9;;-13,2;63,8;78,1;-14,3;high
91;Saint Vincent and the Grenadines;-1;-1;48;54,5;13;;-1;;-1;;0;55,7;78,2;-22,5;high
93;Algeria;0,425;81;97;10;25,8;;20,9;;27,3;;-6,4119;15;71,9;-56,9;high
93;Dominica;-1;-1;-1;-1;12,5;;29,7;;23,2;;6,50644;-1;-1;0;high
95;Albania;0,245;44;27;15,3;17,9;;81,8;;87,9;;-6,08813;45;65,4;-20,4;high
96;Jamaica;0,457;88;110;70,1;15,5;;74;e;71,1;e;2,91964018;56,1;71;-14,9;high
97;Saint Lucia;-1;-1;35;56,3;17,2;;-1;;-1;;0;62,6;76;-13,4;high
98;Colombia;0,46;92;92;68,5;13,6;;56,9;;55,6;;1,30518;55,7;79,7;-24;high
98;Ecuador;0,429;82;110;77;38,7;;40,1;;39,4;;0,72599;54,4;82,6;-28,2;high
100;Suriname;0,463;95;130;35,2;11,8;;44,6;;47,1;;-2,52569;40,4;68,8;-28,4;high
100;Tonga;0,458;90;110;18,1;3,6;;87,5;;88,3;;-0,76683;53,5;74,8;-21,3;high
102;Dominican Republic;0,505;105;150;99,6;19,1;;55,6;;53,1;;2,46785;51,2;78,7;-27,5;high
103;Maldives;0,283;49;60;4,2;6,5;;13,3;;16,6;;-3,27887;55,9;77,1;-21,2;medium
103;Mongolia;0,32;54;63;18,7;14,9;;85,3;e;84,1;e;1,19187;56,1;68,8;-12,7;medium
103;Turkmenistan;-1;-1;67;18;16,8;;-1;;-1;;0;46,7;76,5;-29,8;medium
